participant,participant_code,Welcome_Screen,age,gender,handedness,education,income,computer_hours,wcst_task,n_back_task,corsi_block_span_task,fitts_law,navon_task,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.5e4538a1-97cf-47f3-98bb-477bc6242e68.txt,"","","","","","","","","","","","","",0,2021-05-19-14-58,"",""
s.4dd1072d-0971-466e-a47c-2e69181033d9.txt,"","",13857,3988,2482,2388,4729,11957,"","","","","",0,2021-05-20-22-11,"",""
s.56ec8cad-eca4-4c6a-8a9a-d1ffbe893d46.txt,"","",12724,"","","","","","","","","","",0,2021-05-20-16-37,"",""
s.e27adc67-3263-41ff-b291-23479c133dc0.txt,"","","","","","","","","","","","","",0,2021-05-18-15-50,"",""
s.0e016b8a-f304-44b6-8893-82fc2cc814e2.txt,"","",8577,2307,5937,7803,6889,"","","","","","",0,2021-05-20-16-52,"",""
s.c8ac1ebe-23d0-4730-a772-ba16556c7d34.txt,"","","","","","","","","","","","","",0,2021-05-19-10-00,2021-05-19-10-32,32
s.32ff642a-efe0-436f-8075-fa703d677fed.txt,"","","","","","","","","","","","","",0,2021-05-01-15-50,2021-05-01-16-09,19
s.88be81bb-b23f-4c34-b7ad-18cce2be5cb9.txt,"","","","","","","","","","","","","",0,2021-05-13-15-43,"",""
s.1d3040fa-53ff-4e4c-bb54-b4f03d58c62f.txt,"","",56707,2726,2508,3219,4092,4644,"","","","","",0,2021-05-20-16-53,"",""
s.8631dfc2-debc-4de9-bdb6-064dc3c7613f.txt,"","",3913,2964,"","","","","","","","","",0,2021-05-20-16-38,"",""
s.c6ad6698-4f59-4753-9ae9-6f8d562c5fe1.txt,"","","","","","","","","","","","","",0,2021-05-12-15-03,"",""
s.6d864347-b2ab-47de-b7fa-0384c6308b9c.txt,"","",6857,1939,2276,2202,3158,6590,"","","","","",0,2021-05-21-09-36,"",""
s.d3b74af9-3b24-4820-83a0-67986b3ec0bf.txt,"","","","","","","","","","","","","",0,2021-05-10-06-39,2021-05-10-06-57,18
