,participant,demographics_mean_reation_time_ms,demographics_income_a,demographics_computer_hours_a,demographics_age_a
0,739085.0,4078.285714285714,7.0,55.0,25.0
100,919015.0,6090.571428571428,5.0,10.0,31.0
200,722573.0,18174.428571428572,7.0,30.0,45.0
300,552414.0,10966.714285714286,6.0,27.0,35.0
400,440534.0,7981.571428571428,7.0,40.0,44.0
500,461272.0,4488.0,4.0,26.0,29.0
600,420839.0,9661.857142857143,3.0,28.0,49.0
700,739375.0,6914.857142857143,2.0,0.0,57.0
800,364516.0,12174.57142857143,4.0,15.0,45.0
900,117306.0,7471.142857142857,3.0,5.0,28.0
1000,479010.0,8424.714285714286,8.0,85.0,33.0
1100,873417.0,5052.714285714285,5.0,40.0,23.0
1200,130501.0,7313.285714285715,7.0,46.0,32.0
1300,250040.0,4079.1428571428573,5.0,6.0,20.0
1400,174705.0,4085.5714285714284,5.0,10.0,41.0
1500,438446.0,10886.857142857143,4.0,26.0,57.0
1600,196015.0,5524.142857142857,6.0,10.0,69.0
1700,672956.0,6817.428571428572,5.0,1.0,23.0
1800,293551.0,10303.857142857143,7.0,35.0,31.0
1900,774789.0,4532.142857142857,4.0,20.0,50.0
2000,998593.0,9284.714285714286,8.0,72.0,25.0
2100,701738.0,5205.428571428572,9.0,92.0,24.0
2200,211021.0,6354.428571428572,2.0,20.0,45.0
2300,612204.0,3388.8571428571427,8.0,73.0,33.0
2400,358494.0,5076.428571428572,6.0,16.0,24.0
2500,667664.0,5866.142857142857,4.0,20.0,28.0
2600,794450.0,3674.5714285714284,6.0,5.0,29.0
2700,615351.0,8384.142857142857,2.0,15.0,45.0
2800,554054.0,5967.714285714285,2.0,4.0,53.0
2900,379824.0,8783.714285714286,6.0,33.0,25.0
3000,291756.0,8222.0,4.0,2.0,68.0
3100,120307.0,5295.142857142857,7.0,0.0,56.0
3200,895883.0,12833.714285714286,9.0,75.0,25.0
3300,702467.0,8099.714285714285,7.0,74.0,32.0
3400,685375.0,4859.0,4.0,20.0,28.0
3500,717182.0,5115.714285714285,7.0,6.0,55.0
3600,467445.0,7748.571428571428,8.0,77.0,23.0
