participant,demographics_mean_reation_time_ms,demographics_income_a,demographics_computer_hours_a,demographics_age_a
100934.0,11453.57142857143,7.0,25.0,28.0
103322.0,5294.428571428572,6.0,82.0,51.0
107700.0,4175.714285714285,4.0,4.0,35.0
117200.0,3637.1428571428573,3.0,34.0,39.0
117306.0,7471.142857142857,3.0,5.0,28.0
120307.0,5295.142857142857,7.0,0.0,56.0
122240.0,4041.5714285714284,5.0,20.0,37.0
130202.0,4300.285714285715,6.0,8.0,60.0
130501.0,7313.285714285715,7.0,46.0,32.0
135202.0,12792.42857142857,9.0,67.0,24.0
136469.0,4935.142857142857,7.0,82.0,20.0
140183.0,8612.714285714286,3.0,0.0,62.0
141199.0,8582.714285714286,10.0,88.0,58.0
152049.0,10243.42857142857,6.0,75.0,23.0
153366.0,7687.857142857143,6.0,22.0,42.0
157836.0,4709.142857142857,6.0,1.0,37.0
160188.0,10877.857142857143,4.0,0.0,70.0
165654.0,2845.285714285714,4.0,1.0,27.0
174705.0,4085.5714285714284,5.0,10.0,41.0
183102.0,2300.285714285714,1.0,0.0,31.0
188798.0,9525.285714285714,1.0,3.0,67.0
190562.0,8131.857142857143,7.0,10.0,64.0
193611.0,7014.0,5.0,15.0,52.0
195458.0,6361.714285714285,4.0,5.0,54.0
196015.0,5524.142857142857,6.0,10.0,69.0
203965.0,7780.571428571428,2.0,0.0,34.0
208212.0,8066.0,4.0,55.0,41.0
211021.0,6354.428571428572,2.0,20.0,45.0
216377.0,5166.428571428572,7.0,35.0,33.0
216437.0,16222.0,3.0,60.0,33.0
217762.0,6776.714285714285,3.0,10.0,44.0
223984.0,6877.285714285715,3.0,5.0,38.0
223992.0,6863.857142857143,6.0,25.0,23.0
226288.0,4721.142857142857,7.0,5.0,34.0
234513.0,6108.428571428572,4.0,6.0,33.0
235651.0,9223.714285714286,6.0,6.0,53.0
247707.0,6249.857142857143,8.0,26.0,25.0
250040.0,4079.1428571428573,5.0,6.0,20.0
256218.0,6406.571428571428,6.0,15.0,29.0
260309.0,3809.1428571428573,6.0,18.0,32.0
271279.0,12725.285714285714,9.0,75.0,25.0
276141.0,7157.285714285715,5.0,10.0,38.0
279127.0,7423.571428571428,7.0,21.0,67.0
291694.0,11912.285714285714,8.0,73.0,46.0
291756.0,8222.0,4.0,2.0,68.0
293551.0,10303.857142857143,7.0,35.0,31.0
293897.0,3720.285714285714,7.0,0.0,30.0
296742.0,8729.142857142857,7.0,33.0,25.0
299933.0,3534.4285714285716,8.0,87.0,27.0
304171.0,3570.5714285714284,3.0,0.0,19.0
311536.0,11004.57142857143,9.0,81.0,38.0
316448.0,4265.428571428572,3.0,0.0,28.0
317920.0,8151.428571428572,7.0,10.0,33.0
321015.0,6999.714285714285,2.0,26.0,33.0
327094.0,9251.57142857143,7.0,56.0,24.0
332088.0,4546.428571428572,9.0,82.0,27.0
352526.0,6903.285714285715,5.0,8.0,39.0
355131.0,6207.714285714285,5.0,1.0,32.0
357250.0,7305.571428571428,6.0,76.0,30.0
358099.0,8925.857142857143,1.0,59.0,32.0
358494.0,5076.428571428572,6.0,16.0,24.0
360939.0,8468.42857142857,5.0,2.0,44.0
362780.0,5386.428571428572,6.0,5.0,49.0
364516.0,12174.57142857143,4.0,15.0,45.0
371360.0,7188.857142857143,5.0,54.0,63.0
377849.0,4167.0,5.0,15.0,50.0
379824.0,8783.714285714286,6.0,33.0,25.0
388021.0,6604.571428571428,2.0,100.0,30.0
388850.0,4750.714285714285,4.0,16.0,34.0
393191.0,6400.428571428572,4.0,80.0,43.0
397451.0,6166.0,2.0,22.0,45.0
402320.0,3143.285714285714,8.0,77.0,40.0
406595.0,4404.857142857143,7.0,19.0,32.0
412246.0,7632.857142857143,3.0,4.0,45.0
414065.0,8202.0,4.0,7.0,34.0
414391.0,6771.142857142857,6.0,10.0,25.0
420839.0,9661.857142857143,3.0,28.0,49.0
431418.0,5200.0,5.0,20.0,20.0
433277.0,7200.571428571428,5.0,43.0,30.0
438401.0,6620.714285714285,3.0,16.0,34.0
438446.0,10886.857142857143,4.0,26.0,57.0
438865.0,8314.142857142857,2.0,20.0,49.0
438964.0,7085.0,6.0,44.0,41.0
440534.0,7981.571428571428,7.0,40.0,44.0
445799.0,7380.857142857143,2.0,17.0,64.0
459223.0,5875.428571428572,7.0,32.0,31.0
461272.0,4488.0,4.0,26.0,29.0
461852.0,5481.428571428572,9.0,40.0,25.0
464878.0,9251.285714285714,5.0,10.0,30.0
467445.0,7748.571428571428,8.0,77.0,23.0
468185.0,8275.57142857143,8.0,25.0,32.0
469441.0,4949.142857142857,2.0,8.0,41.0
479010.0,8424.714285714286,8.0,85.0,33.0
484881.0,14548.857142857143,10.0,80.0,29.0
485561.0,4978.428571428572,7.0,25.0,48.0
486018.0,3070.285714285714,5.0,4.0,33.0
489027.0,7128.142857142857,7.0,90.0,50.0
491090.0,5915.428571428572,1.0,60.0,37.0
493614.0,10650.57142857143,4.0,10.0,34.0
501414.0,8802.714285714286,7.0,4.0,45.0
506218.0,7602.285714285715,8.0,25.0,24.0
507361.0,11281.42857142857,4.0,26.0,43.0
513724.0,18662.714285714286,5.0,10.0,29.0
521567.0,3418.714285714286,5.0,70.0,29.0
524310.0,3665.0,4.0,1.0,55.0
528482.0,4082.5714285714284,5.0,10.0,33.0
528653.0,5503.428571428572,4.0,0.0,63.0
537080.0,11801.714285714286,8.0,89.0,23.0
541645.0,7767.142857142857,8.0,76.0,26.0
552414.0,10966.714285714286,6.0,27.0,35.0
554054.0,5967.714285714285,2.0,4.0,53.0
557453.0,9130.857142857143,4.0,30.0,43.0
559530.0,3341.5714285714284,9.0,67.0,29.0
564369.0,7146.714285714285,5.0,2.0,39.0
572735.0,5364.714285714285,5.0,3.0,34.0
573978.0,3852.8571428571427,6.0,44.0,32.0
578085.0,9355.0,4.0,75.0,22.0
586518.0,5097.285714285715,8.0,38.0,25.0
595728.0,8441.857142857143,7.0,68.0,25.0
598693.0,16035.0,4.0,6.0,32.0
599007.0,10165.285714285714,4.0,70.0,39.0
601236.0,6410.714285714285,1.0,0.0,50.0
601407.0,6075.428571428572,1.0,0.0,40.0
612204.0,3388.8571428571427,8.0,73.0,33.0
615351.0,8384.142857142857,2.0,15.0,45.0
622387.0,5571.142857142857,9.0,83.0,65.0
628718.0,5780.714285714285,8.0,3.0,47.0
632838.0,7775.714285714285,6.0,33.0,25.0
640181.0,11798.142857142857,6.0,10.0,31.0
644865.0,6464.142857142857,4.0,1.0,41.0
647658.0,9890.57142857143,4.0,4.0,62.0
652890.0,13114.0,7.0,5.0,33.0
657902.0,8948.57142857143,4.0,44.0,40.0
663372.0,14350.142857142857,6.0,18.0,31.0
663604.0,4796.428571428572,1.0,10.0,30.0
664687.0,7896.142857142857,2.0,22.0,45.0
667664.0,5866.142857142857,4.0,20.0,28.0
672956.0,6817.428571428572,5.0,1.0,23.0
674647.0,4459.0,5.0,4.0,40.0
678629.0,5048.714285714285,2.0,0.0,30.0
684712.0,7965.714285714285,2.0,30.0,41.0
685375.0,4859.0,4.0,20.0,28.0
690573.0,5218.714285714285,8.0,77.0,36.0
699794.0,8122.285714285715,7.0,19.0,26.0
701738.0,5205.428571428572,9.0,92.0,24.0
702467.0,8099.714285714285,7.0,74.0,32.0
706034.0,9379.0,5.0,15.0,24.0
709209.0,7518.714285714285,3.0,0.0,33.0
709691.0,7846.0,2.0,20.0,62.0
717182.0,5115.714285714285,7.0,6.0,55.0
720294.0,8699.285714285714,5.0,4.0,29.0
722252.0,5409.428571428572,6.0,15.0,31.0
722573.0,18174.428571428572,7.0,30.0,45.0
723258.0,10448.57142857143,6.0,20.0,34.0
726906.0,42586.0,5.0,50.0,35.0
