,participant,reward,status,action,rule,matching_rule,n_t
500,739085.0,0,2,1,shape,shape,0
501,739085.0,0,2,3,shape,color,1
502,739085.0,0,2,1,shape,shape,2
503,739085.0,1,1,1,shape,shape,3
504,739085.0,1,1,1,shape,shape,4
505,739085.0,1,1,1,shape,shape,5
506,739085.0,1,1,1,shape,shape,6
507,739085.0,1,1,1,shape,shape,7
508,739085.0,1,1,1,shape,shape,8
509,739085.0,1,1,1,shape,shape,9
510,739085.0,0,2,2,number,number,10
511,739085.0,0,2,3,number,color,11
512,739085.0,1,1,2,number,number,12
513,739085.0,1,1,2,number,number,13
514,739085.0,1,1,2,number,number,14
515,739085.0,1,1,2,number,number,15
516,739085.0,1,1,2,number,number,16
517,739085.0,1,1,2,number,number,17
518,739085.0,1,1,2,number,number,18
519,739085.0,0,2,1,color,shape,19
520,739085.0,0,2,3,color,color,20
521,739085.0,1,1,3,color,color,21
522,739085.0,1,1,3,color,color,22
523,739085.0,1,1,3,color,color,23
524,739085.0,1,1,3,color,color,24
525,739085.0,1,1,3,color,color,25
526,739085.0,1,1,3,color,color,26
527,739085.0,1,1,1,shape,shape,27
528,739085.0,1,1,1,shape,shape,28
529,739085.0,1,1,1,shape,shape,29
530,739085.0,1,1,1,shape,shape,30
531,739085.0,1,1,1,shape,shape,31
532,739085.0,1,1,1,shape,shape,32
533,739085.0,1,1,1,shape,shape,33
534,739085.0,1,1,1,shape,shape,34
535,739085.0,0,2,2,number,number,35
536,739085.0,1,1,2,number,number,36
537,739085.0,1,1,2,number,number,37
538,739085.0,1,1,2,number,number,38
539,739085.0,0,2,2,number,number,39
540,739085.0,1,1,2,number,number,40
541,739085.0,1,1,2,number,number,41
542,739085.0,0,2,1,color,shape,42
543,739085.0,0,2,3,color,color,43
544,739085.0,1,1,3,color,color,44
545,739085.0,1,1,3,color,color,45
546,739085.0,1,1,3,color,color,46
547,739085.0,0,2,2,number,number,47
548,739085.0,0,2,3,number,color,48
549,739085.0,1,1,2,number,number,49
550,739085.0,0,3,3,number,color,50
551,739085.0,1,1,2,number,number,51
552,739085.0,0,2,2,number,number,52
553,739085.0,0,2,1,shape,shape,53
554,739085.0,0,2,1,shape,shape,54
555,739085.0,0,2,3,shape,color,55
556,739085.0,0,2,1,shape,shape,56
557,739085.0,1,1,1,shape,shape,57
558,739085.0,0,2,1,shape,shape,58
559,739085.0,1,1,1,shape,shape,59
560,739085.0,1,1,3,color,color,60
561,739085.0,1,1,3,color,color,61
562,739085.0,1,1,3,color,color,62
563,739085.0,1,1,3,color,color,63
564,739085.0,1,1,3,color,color,64
565,739085.0,1,1,1,shape,shape,65
566,739085.0,1,1,1,shape,shape,66
567,739085.0,1,1,1,shape,shape,67
568,739085.0,1,1,1,shape,shape,68
569,739085.0,1,1,1,shape,shape,69
570,739085.0,0,2,2,number,number,70
571,739085.0,0,2,3,number,color,71
572,739085.0,1,1,2,number,number,72
573,739085.0,1,1,2,number,number,73
574,739085.0,1,1,2,number,number,74
575,739085.0,1,1,2,number,number,75
576,739085.0,0,2,2,number,number,76
577,739085.0,0,2,1,shape,shape,77
578,739085.0,1,1,1,shape,shape,78
579,739085.0,1,1,1,shape,shape,79
580,739085.0,1,1,1,shape,shape,80
581,739085.0,1,1,1,shape,shape,81
582,739085.0,1,1,1,shape,shape,82
583,739085.0,1,1,3,color,color,83
584,739085.0,1,1,3,color,color,84
585,739085.0,1,1,3,color,color,85
586,739085.0,1,1,3,color,color,86
587,739085.0,1,1,3,color,color,87
588,739085.0,1,1,1,shape,shape,88
589,739085.0,1,1,1,shape,shape,89
590,739085.0,1,1,1,shape,shape,90
591,739085.0,1,1,1,shape,shape,91
592,739085.0,1,1,1,shape,shape,92
593,739085.0,1,1,1,shape,shape,93
594,739085.0,1,1,3,color,color,94
595,739085.0,1,1,3,color,color,95
596,739085.0,1,1,3,color,color,96
597,739085.0,1,1,3,color,color,97
598,739085.0,1,1,3,color,color,98
599,739085.0,1,1,3,color,color,99
700,919015.0,1,1,1,shape,shape,0
701,919015.0,1,1,1,shape,shape,1
702,919015.0,1,1,1,shape,shape,2
703,919015.0,1,1,1,shape,shape,3
704,919015.0,1,1,1,shape,shape,4
705,919015.0,1,1,1,shape,shape,5
706,919015.0,1,1,1,shape,shape,6
707,919015.0,1,1,1,shape,shape,7
708,919015.0,1,1,1,shape,shape,8
709,919015.0,1,1,1,shape,shape,9
710,919015.0,0,2,2,number,number,10
711,919015.0,1,1,2,number,number,11
712,919015.0,1,1,2,number,number,12
713,919015.0,1,1,2,number,number,13
714,919015.0,1,1,2,number,number,14
715,919015.0,1,1,2,number,number,15
716,919015.0,1,1,2,number,number,16
717,919015.0,1,1,2,number,number,17
718,919015.0,1,1,2,number,number,18
719,919015.0,0,2,1,color,shape,19
720,919015.0,1,1,3,color,color,20
721,919015.0,1,1,3,color,color,21
722,919015.0,1,1,3,color,color,22
723,919015.0,1,1,3,color,color,23
724,919015.0,1,1,3,color,color,24
725,919015.0,1,1,3,color,color,25
726,919015.0,1,1,3,color,color,26
727,919015.0,1,1,1,shape,shape,27
728,919015.0,1,1,1,shape,shape,28
729,919015.0,1,1,1,shape,shape,29
730,919015.0,1,1,1,shape,shape,30
731,919015.0,1,1,1,shape,shape,31
732,919015.0,1,1,1,shape,shape,32
733,919015.0,1,1,1,shape,shape,33
734,919015.0,1,1,1,shape,shape,34
735,919015.0,0,2,2,number,number,35
736,919015.0,0,2,2,number,number,36
737,919015.0,1,1,2,number,number,37
738,919015.0,1,1,2,number,number,38
739,919015.0,1,1,2,number,number,39
740,919015.0,0,2,2,number,number,40
741,919015.0,1,1,2,number,number,41
742,919015.0,0,2,1,color,shape,42
743,919015.0,1,1,3,color,color,43
744,919015.0,1,1,3,color,color,44
745,919015.0,1,1,3,color,color,45
746,919015.0,1,1,3,color,color,46
747,919015.0,0,2,2,number,number,47
748,919015.0,1,1,2,number,number,48
749,919015.0,1,1,2,number,number,49
750,919015.0,1,1,2,number,number,50
751,919015.0,1,1,2,number,number,51
752,919015.0,1,1,2,number,number,52
753,919015.0,0,2,1,shape,shape,53
754,919015.0,1,1,1,shape,shape,54
755,919015.0,1,1,1,shape,shape,55
756,919015.0,1,1,1,shape,shape,56
757,919015.0,1,1,1,shape,shape,57
758,919015.0,1,1,1,shape,shape,58
759,919015.0,1,1,1,shape,shape,59
760,919015.0,1,1,3,color,color,60
761,919015.0,1,1,3,color,color,61
762,919015.0,1,1,3,color,color,62
763,919015.0,1,1,3,color,color,63
764,919015.0,1,1,3,color,color,64
765,919015.0,1,1,1,shape,shape,65
766,919015.0,1,1,1,shape,shape,66
767,919015.0,1,1,1,shape,shape,67
768,919015.0,1,1,1,shape,shape,68
769,919015.0,1,1,1,shape,shape,69
770,919015.0,0,2,2,number,number,70
771,919015.0,1,1,2,number,number,71
772,919015.0,1,1,2,number,number,72
773,919015.0,0,2,2,number,number,73
774,919015.0,1,1,2,number,number,74
775,919015.0,1,1,2,number,number,75
776,919015.0,1,1,2,number,number,76
777,919015.0,1,1,1,shape,shape,77
778,919015.0,0,2,1,shape,shape,78
779,919015.0,0,2,3,shape,color,79
780,919015.0,0,2,1,shape,shape,80
781,919015.0,1,1,1,shape,shape,81
782,919015.0,1,1,1,shape,shape,82
783,919015.0,1,1,3,color,color,83
784,919015.0,1,1,3,color,color,84
785,919015.0,1,1,3,color,color,85
786,919015.0,1,1,3,color,color,86
787,919015.0,1,1,3,color,color,87
788,919015.0,1,1,1,shape,shape,88
789,919015.0,1,1,1,shape,shape,89
790,919015.0,1,1,1,shape,shape,90
791,919015.0,1,1,1,shape,shape,91
