,participant,reward,status,action,rule,matching_rule,n_t
300,388850.0,0,2,1,shape,shape,0
301,388850.0,0,2,3,shape,color,1
302,388850.0,0,2,1,shape,shape,2
303,388850.0,1,1,1,shape,shape,3
304,388850.0,1,1,1,shape,shape,4
305,388850.0,1,1,1,shape,shape,5
306,388850.0,1,1,1,shape,shape,6
307,388850.0,1,1,1,shape,shape,7
308,388850.0,1,1,1,shape,shape,8
309,388850.0,1,1,1,shape,shape,9
310,388850.0,0,2,2,number,number,10
311,388850.0,0,2,3,number,color,11
312,388850.0,1,1,2,number,number,12
313,388850.0,0,2,2,number,number,13
314,388850.0,1,1,2,number,number,14
315,388850.0,1,1,2,number,number,15
316,388850.0,1,1,2,number,number,16
317,388850.0,1,1,2,number,number,17
318,388850.0,1,1,2,number,number,18
319,388850.0,0,2,1,color,shape,19
320,388850.0,0,2,3,color,color,20
321,388850.0,1,1,3,color,color,21
322,388850.0,1,1,3,color,color,22
323,388850.0,1,1,3,color,color,23
324,388850.0,1,1,3,color,color,24
325,388850.0,1,1,3,color,color,25
326,388850.0,1,1,3,color,color,26
327,388850.0,1,1,1,shape,shape,27
328,388850.0,1,1,1,shape,shape,28
329,388850.0,1,1,1,shape,shape,29
330,388850.0,1,1,1,shape,shape,30
331,388850.0,1,1,1,shape,shape,31
332,388850.0,1,1,1,shape,shape,32
333,388850.0,1,1,1,shape,shape,33
334,388850.0,1,1,1,shape,shape,34
335,388850.0,0,2,2,number,number,35
336,388850.0,1,1,2,number,number,36
337,388850.0,1,1,2,number,number,37
338,388850.0,1,1,2,number,number,38
339,388850.0,1,1,2,number,number,39
340,388850.0,1,1,2,number,number,40
341,388850.0,1,1,2,number,number,41
342,388850.0,0,2,1,color,shape,42
343,388850.0,1,1,3,color,color,43
344,388850.0,1,1,3,color,color,44
345,388850.0,1,1,3,color,color,45
346,388850.0,1,1,3,color,color,46
347,388850.0,0,2,2,number,number,47
348,388850.0,1,1,2,number,number,48
349,388850.0,1,1,2,number,number,49
350,388850.0,1,1,2,number,number,50
351,388850.0,1,1,2,number,number,51
352,388850.0,1,1,2,number,number,52
353,388850.0,0,2,1,shape,shape,53
354,388850.0,1,1,1,shape,shape,54
355,388850.0,1,1,1,shape,shape,55
356,388850.0,1,1,1,shape,shape,56
357,388850.0,1,1,1,shape,shape,57
358,388850.0,1,1,1,shape,shape,58
359,388850.0,1,1,1,shape,shape,59
360,388850.0,1,1,3,color,color,60
361,388850.0,1,1,3,color,color,61
362,388850.0,1,1,3,color,color,62
363,388850.0,1,1,3,color,color,63
364,388850.0,1,1,3,color,color,64
365,388850.0,1,1,1,shape,shape,65
366,388850.0,1,1,1,shape,shape,66
367,388850.0,1,1,1,shape,shape,67
368,388850.0,1,1,1,shape,shape,68
369,388850.0,1,1,1,shape,shape,69
370,388850.0,0,2,2,number,number,70
371,388850.0,1,1,2,number,number,71
372,388850.0,1,1,2,number,number,72
373,388850.0,0,2,2,number,number,73
374,388850.0,1,1,2,number,number,74
375,388850.0,1,1,2,number,number,75
376,388850.0,1,1,2,number,number,76
377,388850.0,0,2,1,shape,shape,77
378,388850.0,1,1,1,shape,shape,78
379,388850.0,1,1,1,shape,shape,79
380,388850.0,1,1,1,shape,shape,80
381,388850.0,1,1,1,shape,shape,81
382,388850.0,1,1,1,shape,shape,82
383,388850.0,1,1,3,color,color,83
384,388850.0,1,1,3,color,color,84
385,388850.0,1,1,3,color,color,85
386,388850.0,1,1,3,color,color,86
387,388850.0,1,1,3,color,color,87
388,388850.0,1,1,1,shape,shape,88
389,388850.0,1,1,1,shape,shape,89
390,388850.0,1,1,1,shape,shape,90
391,388850.0,1,1,1,shape,shape,91
392,388850.0,1,1,1,shape,shape,92
393,388850.0,1,1,1,shape,shape,93
394,388850.0,1,1,3,color,color,94
395,388850.0,1,1,3,color,color,95
396,388850.0,1,1,3,color,color,96
397,388850.0,1,1,3,color,color,97
