,participant,wcst_RT,fitts_mean_deviation,nback_status,nback_reaction_time_ms,navon_perc_correct,navon_reaction_time_ms,corsi_block_span
0,739085.0,1839.35,-193.95,0.6625,2969.9125,0.48717948717948717,827.349358974359,6.0
100,919015.0,1528.54,-170.75,0.8625,2365.3625,0.6762820512820513,800.5544871794872,6.0
200,722573.0,2892.26,-276.8,0.7625,2619.7625,0.6858974358974359,1311.522435897436,0.0
300,552414.0,1614.98,-58.5,0.7,3000.0,0.6378205128205128,861.5160256410256,0.0
400,440534.0,1652.96,-177.35,0.8,2064.1875,0.4391025641025641,1366.3653846153848,5.0
500,461272.0,1085.11,-41.9,0.625,2228.2125,0.46153846153846156,351.96153846153845,6.0
600,420839.0,1943.61,-301.6,0.7875,2011.0375,0.8333333333333333,1262.4166666666665,5.0
700,739375.0,1497.18,-181.55,0.8625,2140.1625,0.75,1282.2916666666665,4.0
800,364516.0,2368.68,-302.9,0.6625,2660.2125,0.0,4000.0,0.0
900,117306.0,2044.93,-141.8,0.975,2343.2625,0.7628205128205128,1290.3333333333335,5.0
1000,479010.0,1562.88,-622.9,0.4875,1488.6,0.7948717948717949,1246.4711538461538,0.0
1100,873417.0,1146.0,38.75,0.9375,2339.6625,0.6762820512820513,874.9230769230769,6.0
1200,130501.0,1679.83,-1031.05,0.55,2336.4125,0.40705128205128205,1072.4839743589744,4.0
1300,250040.0,1293.54,-69.6,0.7,3000.0,0.5178571428571428,252.11309523809524,5.0
1400,174705.0,1363.04,-114.3,0.9625,2403.6,0.9166666666666667,762.5128205128206,6.0
1500,438446.0,1238.83,-84.45,0.725,3000.0,0.4807692307692308,671.7307692307693,6.0
1600,196015.0,1640.14,-137.9,0.65,1959.1125,0.0,4000.0,0.0
1700,672956.0,1306.53,-155.5,0.9625,2337.8,0.75,633.3333333333333,6.0
1800,293551.0,1908.61,-127.5,0.675,2501.775,0.7596153846153846,1918.3301282051284,0.0
1900,774789.0,2292.72,-645.0,0.775,3000.0,0.6666666666666666,1053.0833333333335,0.0
2000,998593.0,3375.14,-1144.45,0.5625,2428.75,0.5160256410256411,2136.673076923077,0.0
2100,701738.0,1682.64,-311.4,0.6375,2802.0125,0.0,4000.0,0.0
2200,211021.0,1362.53,-292.75,0.8375,2293.1375,0.9615384615384616,775.0801282051282,6.0
2300,612204.0,1568.43,-114.25,0.625,1712.15,1.0,1032.6666666666667,0.0
2400,358494.0,1362.32,-85.1,1.0,2143.2625,0.7948717948717949,1002.5384615384615,7.0
