,participant,wcst_RT,fitts_mean_deviation,nback_status,nback_reaction_time_ms,navon_perc_correct,navon_reaction_time_ms,corsi_block_span
0,388850.0,1243.94,-152.3,0.975,2194.9,0.6153846153846154,831.0384615384614,8.0
100,951022.0,1264.49,11.95,0.8375,2502.225,0.8397435897435898,711.1474358974359,7.0
200,919015.0,1528.54,-170.75,0.8625,2365.3625,0.6762820512820513,800.5544871794872,6.0
300,948779.0,1287.13,-58.2,0.9875,2184.5,0.7596153846153846,821.8717948717949,6.0
400,552414.0,1614.98,-58.5,0.7,3000.0,0.6378205128205128,861.5160256410256,0.0
500,438865.0,1473.57,-294.2,0.9875,2110.675,0.7596153846153846,736.9455128205128,4.0
600,440534.0,1652.96,-177.35,0.8,2064.1875,0.4391025641025641,1366.3653846153848,5.0
700,461272.0,1085.11,-41.9,0.625,2228.2125,0.46153846153846156,351.96153846153845,6.0
800,647658.0,2077.6,-207.4,0.875,2526.9,0.8782051282051282,1109.1923076923076,5.0
900,420839.0,1943.61,-301.6,0.7875,2011.0375,0.8333333333333333,1262.4166666666665,5.0
1000,260309.0,1656.84,-205.1,0.75,2383.575,0.3621794871794872,434.56410256410254,5.0
1100,364516.0,2368.68,-302.9,0.6625,2660.2125,0.0,4000.0,0.0
1200,640181.0,1707.59,-266.0,0.7,1750.9,0.3621794871794872,1624.2628205128203,4.0
1300,117306.0,2044.93,-141.8,0.975,2343.2625,0.7628205128205128,1290.3333333333335,5.0
1400,122240.0,2023.51,-60.1,0.8875,2060.45,0.9230769230769231,846.9903846153846,5.0
1500,866118.0,1183.06,-50.5,0.975,2128.575,0.8461538461538461,769.3461538461538,5.0
1600,720294.0,1399.73,-78.25,0.95,2442.5375,0.7307692307692308,890.8076923076923,0.0
1700,873417.0,1146.0,38.75,0.9375,2339.6625,0.6762820512820513,874.9230769230769,6.0
1800,864636.0,1299.51,-148.55,0.8625,2116.8875,0.7692307692307692,884.0769230769231,7.0
1900,438446.0,1238.83,-84.45,0.725,3000.0,0.4807692307692308,671.7307692307693,6.0
2000,672956.0,1306.53,-155.5,0.9625,2337.8,0.75,633.3333333333333,6.0
2100,952799.0,1638.86,-90.65,0.825,1932.55,0.5,2486.333333333333,5.0
2200,397451.0,1386.95,-51.6,0.9125,2158.2875,0.641025641025641,819.7371794871794,7.0
2300,971229.0,1073.83,-66.85,0.9875,2066.5125,0.8869047619047619,718.8333333333333,6.0
2400,211021.0,1362.53,-292.75,0.8375,2293.1375,0.9615384615384616,775.0801282051282,6.0
2500,612204.0,1568.43,-114.25,0.625,1712.15,1.0,1032.6666666666667,0.0
2600,358494.0,1362.32,-85.1,1.0,2143.2625,0.7948717948717949,1002.5384615384615,7.0
2700,667664.0,1431.42,-4.4,0.6875,1915.6,0.6314102564102564,897.4391025641025,8.0
2800,794450.0,2041.14,-584.95,0.8125,2383.1625,0.8846153846153846,1123.9711538461538,0.0
2900,190562.0,1761.66,-75.6,0.9,2309.225,0.6794871794871795,994.0096153846154,6.0
