,participant,demographics_mean_reation_time_ms,demographics_income_a,demographics_computer_hours_a,demographics_age_a
0,388850.0,4750.714285714285,4.0,16.0,34.0
100,951022.0,4102.0,2.0,60.0,20.0
200,919015.0,6090.571428571428,5.0,10.0,31.0
300,948779.0,5543.714285714285,3.0,12.0,43.0
400,552414.0,10966.714285714286,6.0,27.0,35.0
500,438865.0,8314.142857142857,2.0,20.0,49.0
600,440534.0,7981.571428571428,7.0,40.0,44.0
700,461272.0,4488.0,4.0,26.0,29.0
800,647658.0,9890.57142857143,4.0,4.0,62.0
900,420839.0,9661.857142857143,3.0,28.0,49.0
1000,260309.0,3809.1428571428573,6.0,18.0,32.0
1100,364516.0,12174.57142857143,4.0,15.0,45.0
1200,640181.0,11798.142857142857,6.0,10.0,31.0
1300,117306.0,7471.142857142857,3.0,5.0,28.0
1400,122240.0,4041.5714285714284,5.0,20.0,37.0
1500,866118.0,5920.0,5.0,10.0,44.0
1600,720294.0,8699.285714285714,5.0,4.0,29.0
1700,873417.0,5052.714285714285,5.0,40.0,23.0
1800,864636.0,5432.0,4.0,3.0,34.0
1900,438446.0,10886.857142857143,4.0,26.0,57.0
2000,672956.0,6817.428571428572,5.0,1.0,23.0
2100,952799.0,3179.8571428571427,7.0,24.0,55.0
2200,397451.0,6166.0,2.0,22.0,45.0
2300,971229.0,4657.142857142857,9.0,2.0,33.0
2400,211021.0,6354.428571428572,2.0,20.0,45.0
2500,612204.0,3388.8571428571427,8.0,73.0,33.0
2600,358494.0,5076.428571428572,6.0,16.0,24.0
2700,667664.0,5866.142857142857,4.0,20.0,28.0
2800,794450.0,3674.5714285714284,6.0,5.0,29.0
2900,190562.0,8131.857142857143,7.0,10.0,64.0
3000,615351.0,8384.142857142857,2.0,15.0,45.0
3100,469441.0,4949.142857142857,2.0,8.0,41.0
3200,891096.0,8511.714285714286,7.0,3.0,55.0
3300,461852.0,5481.428571428572,9.0,40.0,25.0
3400,459223.0,5875.428571428572,7.0,32.0,31.0
3500,291756.0,8222.0,4.0,2.0,68.0
3600,895883.0,12833.714285714286,9.0,75.0,25.0
3700,388021.0,6604.571428571428,2.0,100.0,30.0
3800,271279.0,12725.285714285714,9.0,75.0,25.0
3900,979785.0,7352.285714285715,5.0,12.0,40.0
4000,572735.0,5364.714285714285,5.0,3.0,34.0
4100,130202.0,4300.285714285715,6.0,8.0,60.0
4200,103322.0,5294.428571428572,6.0,82.0,51.0
4300,279127.0,7423.571428571428,7.0,21.0,67.0
4400,978676.0,14197.857142857143,5.0,5.0,59.0
4500,936870.0,8443.285714285714,6.0,3.0,34.0
4600,664687.0,7896.142857142857,2.0,22.0,45.0
4700,183102.0,2300.285714285714,1.0,0.0,31.0
4800,485561.0,4978.428571428572,7.0,25.0,48.0
4900,895200.0,9618.142857142857,7.0,94.0,33.0
5000,507361.0,11281.42857142857,4.0,26.0,43.0
5100,524310.0,3665.0,4.0,1.0,55.0
